entity1,relation,entity2
Dracula: Dead and Loving It,IN_GENRE,Comedy
Dracula: Dead and Loving It,IN_GENRE,Horror
Dracula: Dead and Loving It,RELEASED_ON,1995-12-22
Dracula: Dead and Loving It,HAS_IMDB_RATING,5.8
Balto,HAS_ACTOR,Kevin Bacon
Balto,HAS_ACTOR,Bob Hoskins
Balto,HAS_ACTOR,Jim Cummings
Balto,HAS_ACTOR,Bridget Fonda
Balto,HAS_DIRECTOR,Simon Wells
Balto,IN_GENRE,Children
Balto,IN_GENRE,Adventure
Balto,IN_GENRE,Animation
Balto,RELEASED_ON,1995-12-22
Balto,HAS_IMDB_RATING,7.1
Nixon,HAS_ACTOR,Ed Harris
Nixon,HAS_ACTOR,Anthony Hopkins
Nixon,HAS_ACTOR,Powers Boothe
Nixon,HAS_ACTOR,Joan Allen
Nixon,HAS_DIRECTOR,Oliver Stone
Nixon,IN_GENRE,Drama
Nixon,RELEASED_ON,1996-01-05
Nixon,HAS_IMDB_RATING,7.1
Cutthroat Island,HAS_ACTOR,Geena Davis
Cutthroat Island,HAS_ACTOR,Frank Langella
Cutthroat Island,HAS_ACTOR,Matthew Modine
Cutthroat Island,HAS_ACTOR,Maury Chaykin
Cutthroat Island,HAS_DIRECTOR,Renny Harlin
Cutthroat Island,IN_GENRE,Romance
Cutthroat Island,IN_GENRE,Adventure
Cutthroat Island,IN_GENRE,Action
Cutthroat Island,RELEASED_ON,1995-12-22
Cutthroat Island,HAS_IMDB_RATING,5.6
Casino,HAS_ACTOR,Robert De Niro
Casino,HAS_ACTOR,Joe Pesci
Casino,HAS_ACTOR,Sharon Stone
Casino,HAS_ACTOR,James Woods
Casino,HAS_DIRECTOR,Martin Scorsese
Casino,IN_GENRE,Drama
Casino,IN_GENRE,Crime
Casino,RELEASED_ON,1995-11-22
Casino,HAS_IMDB_RATING,8.2
Sense and Sensibility,HAS_ACTOR,James Fleet
Sense and Sensibility,HAS_ACTOR,Kate Winslet
Sense and Sensibility,HAS_ACTOR,Tom Wilkinson
Sense and Sensibility,HAS_ACTOR,Harriet Walter
Sense and Sensibility,HAS_DIRECTOR,Ang Lee
Sense and Sensibility,IN_GENRE,Drama
Sense and Sensibility,IN_GENRE,Romance
Sense and Sensibility,RELEASED_ON,1996-01-26
Sense and Sensibility,HAS_IMDB_RATING,7.7
Four Rooms,HAS_ACTOR,Amanda De Cadenet
Four Rooms,HAS_ACTOR,Valeria Golino
Four Rooms,HAS_ACTOR,Madonna
Four Rooms,HAS_ACTOR,Sammi Davis
Four Rooms,HAS_DIRECTOR,Allison Anders|Robert Rodriguez|Quentin Tarantino| Alexandre Rockwell
Four Rooms,IN_GENRE,Comedy
Four Rooms,RELEASED_ON,1995-12-25
Four Rooms,HAS_IMDB_RATING,6.7
Ace Ventura: When Nature Calls,HAS_ACTOR,Jim Carrey
Ace Ventura: When Nature Calls,HAS_ACTOR,Ian McNeice
Ace Ventura: When Nature Calls,HAS_ACTOR,Simon Callow
Ace Ventura: When Nature Calls,HAS_ACTOR,Maynard Eziashi
Ace Ventura: When Nature Calls,HAS_DIRECTOR,Steve Oedekerk
Ace Ventura: When Nature Calls,IN_GENRE,Comedy
Ace Ventura: When Nature Calls,RELEASED_ON,1995-11-10
Ace Ventura: When Nature Calls,HAS_IMDB_RATING,6.3
Money Train,HAS_ACTOR,Wesley Snipes
Money Train,HAS_ACTOR,Robert Blake
Money Train,HAS_ACTOR,Woody Harrelson
Money Train,HAS_ACTOR,Jennifer Lopez
Money Train,HAS_DIRECTOR,Joseph Ruben
Money Train,IN_GENRE,Crime
Money Train,IN_GENRE,Comedy
Money Train,IN_GENRE,Thriller
Money Train,IN_GENRE,Drama
Money Train,IN_GENRE,Action
Money Train,RELEASED_ON,1995-11-22
Money Train,HAS_IMDB_RATING,5.6
Get Shorty,HAS_ACTOR,Danny DeVito
Get Shorty,HAS_ACTOR,Gene Hackman
Get Shorty,HAS_ACTOR,Rene Russo
Get Shorty,HAS_ACTOR,John Travolta
Get Shorty,HAS_DIRECTOR,Barry Sonnenfeld
Get Shorty,IN_GENRE,Thriller
Get Shorty,IN_GENRE,Crime
Get Shorty,IN_GENRE,Comedy
Get Shorty,RELEASED_ON,1995-10-20
Get Shorty,HAS_IMDB_RATING,6.9
Copycat,HAS_ACTOR,Sigourney Weaver
Copycat,HAS_ACTOR,Holly Hunter
Copycat,HAS_ACTOR,Dermot Mulroney
Copycat,HAS_ACTOR,William McNamara
Copycat,HAS_DIRECTOR,Jon Amiel
Copycat,IN_GENRE,Drama
Copycat,IN_GENRE,Horror
Copycat,IN_GENRE,Mystery
Copycat,IN_GENRE,Thriller
Copycat,IN_GENRE,Crime
Copycat,RELEASED_ON,1995-10-27
Copycat,HAS_IMDB_RATING,6.6
Assassins,HAS_ACTOR,Sylvester Stallone
Assassins,HAS_ACTOR,Anatoli Davydov
Assassins,HAS_ACTOR,Antonio Banderas
Assassins,HAS_ACTOR,Julianne Moore
Assassins,HAS_DIRECTOR,Richard Donner
Assassins,IN_GENRE,Action
Assassins,IN_GENRE,Crime
Assassins,IN_GENRE,Thriller
Assassins,RELEASED_ON,1995-10-06
Assassins,HAS_IMDB_RATING,6.3
Powder,HAS_ACTOR,Mary Steenburgen
Powder,HAS_ACTOR,Jeff Goldblum
Powder,HAS_ACTOR,Lance Henriksen
Powder,HAS_ACTOR,Sean Patrick Flanery
Powder,HAS_DIRECTOR,Victor Salva
Powder,IN_GENRE,Sci-Fi
Powder,IN_GENRE,Drama
Powder,RELEASED_ON,1995-10-27
Powder,HAS_IMDB_RATING,6.5
Leaving Las Vegas,HAS_ACTOR,Nicolas Cage
Leaving Las Vegas,HAS_ACTOR,Elisabeth Shue
Leaving Las Vegas,HAS_ACTOR,Julian Sands
Leaving Las Vegas,HAS_ACTOR,Richard Lewis
Leaving Las Vegas,HAS_DIRECTOR,Mike Figgis
Leaving Las Vegas,IN_GENRE,Romance
Leaving Las Vegas,IN_GENRE,Drama
Leaving Las Vegas,RELEASED_ON,1996-02-09
Leaving Las Vegas,HAS_IMDB_RATING,7.6
Othello,HAS_ACTOR,Irène Jacob
Othello,HAS_ACTOR,Laurence Fishburne
Othello,HAS_ACTOR,Kenneth Branagh
Othello,HAS_ACTOR,Nathaniel Parker
Othello,HAS_DIRECTOR,Oliver Parker
Othello,IN_GENRE,Drama
Othello,RELEASED_ON,1996-01-19
Othello,HAS_IMDB_RATING,7.0
Now and Then,HAS_ACTOR,Melanie Griffith
Now and Then,HAS_ACTOR,Thora Birch
Now and Then,HAS_ACTOR,Rosie O'Donnell
Now and Then,HAS_ACTOR,Christina Ricci
Now and Then,HAS_DIRECTOR,Lesli Linka Glatter
Now and Then,IN_GENRE,Drama
Now and Then,IN_GENRE,Children
Now and Then,RELEASED_ON,1995-10-20
Now and Then,HAS_IMDB_RATING,6.7
Persuasion,HAS_ACTOR,Amanda Root
Persuasion,HAS_ACTOR,Susan Fleetwood
Persuasion,HAS_ACTOR,Ciarán Hinds
Persuasion,HAS_ACTOR,Corin Redgrave
Persuasion,HAS_DIRECTOR,Roger Michell
Persuasion,IN_GENRE,Romance
Persuasion,IN_GENRE,Drama
Persuasion,RELEASED_ON,1995-09-27
Persuasion,HAS_IMDB_RATING,7.7
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_ACTOR,Ron Perlman
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_ACTOR,Judith Vittet
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_ACTOR,Daniel Emilfork
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_ACTOR,Dominique Pinon
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_DIRECTOR,Jean-Pierre Jeunet|Marc Caro
"City of Lost Children, The (Cité des enfants perdus, La)",IN_GENRE,Adventure
"City of Lost Children, The (Cité des enfants perdus, La)",IN_GENRE,Drama
"City of Lost Children, The (Cité des enfants perdus, La)",IN_GENRE,Fantasy
"City of Lost Children, The (Cité des enfants perdus, La)",IN_GENRE,Mystery
"City of Lost Children, The (Cité des enfants perdus, La)",IN_GENRE,Sci-Fi
"City of Lost Children, The (Cité des enfants perdus, La)",RELEASED_ON,1995-12-15
"City of Lost Children, The (Cité des enfants perdus, La)",HAS_IMDB_RATING,7.7
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_ACTOR,Gong Li
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_ACTOR,Li Baotian
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_ACTOR,Wang Xiaoxiao
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_ACTOR,Xuejian Li
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_DIRECTOR,Yimou Zhang
Shanghai Triad (Yao a yao yao dao waipo qiao),IN_GENRE,Drama
Shanghai Triad (Yao a yao yao dao waipo qiao),IN_GENRE,Crime
Shanghai Triad (Yao a yao yao dao waipo qiao),RELEASED_ON,1995-12-22
Shanghai Triad (Yao a yao yao dao waipo qiao),HAS_IMDB_RATING,7.2
Dangerous Minds,HAS_ACTOR,Michelle Pfeiffer
Dangerous Minds,HAS_ACTOR,Robin Bartlett
Dangerous Minds,HAS_ACTOR,George Dzundza
Dangerous Minds,HAS_ACTOR,Courtney B. Vance
Dangerous Minds,HAS_DIRECTOR,John N. Smith
Dangerous Minds,IN_GENRE,Drama
Dangerous Minds,RELEASED_ON,1995-08-11
Dangerous Minds,HAS_IMDB_RATING,6.4
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_ACTOR,Bruce Willis
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_ACTOR,Jon Seda
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_ACTOR,Michael Chance
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_ACTOR,Joseph Melito
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_DIRECTOR,Terry Gilliam
Twelve Monkeys (a.k.a. 12 Monkeys),IN_GENRE,Mystery
Twelve Monkeys (a.k.a. 12 Monkeys),IN_GENRE,Sci-Fi
Twelve Monkeys (a.k.a. 12 Monkeys),IN_GENRE,Thriller
Twelve Monkeys (a.k.a. 12 Monkeys),RELEASED_ON,1996-01-05
Twelve Monkeys (a.k.a. 12 Monkeys),HAS_IMDB_RATING,8.1
Babe,HAS_ACTOR,Hugo Weaving
Babe,HAS_ACTOR,Christine Cavanaugh
Babe,HAS_ACTOR,Danny Mann
Babe,HAS_ACTOR,Miriam Margolyes
Babe,HAS_DIRECTOR,Chris Noonan
Babe,IN_GENRE,Children
Babe,IN_GENRE,Drama
Babe,RELEASED_ON,1995-08-04
Babe,HAS_IMDB_RATING,6.8
Carrington,HAS_ACTOR,Steven Waddington
Carrington,HAS_ACTOR,Emma Thompson
Carrington,HAS_ACTOR,Samuel West
Carrington,HAS_ACTOR,Jonathan Pryce
Carrington,HAS_DIRECTOR,Christopher Hampton
Carrington,IN_GENRE,Romance
Carrington,IN_GENRE,Drama
Carrington,RELEASED_ON,1995-11-10
Carrington,HAS_IMDB_RATING,6.9
Dead Man Walking,HAS_ACTOR,Susan Sarandon
Dead Man Walking,HAS_ACTOR,Raymond J. Barry
Dead Man Walking,HAS_ACTOR,Robert Prosky
Dead Man Walking,HAS_ACTOR,Sean Penn
Dead Man Walking,HAS_DIRECTOR,Tim Robbins
Dead Man Walking,IN_GENRE,Drama
Dead Man Walking,IN_GENRE,Crime
Dead Man Walking,RELEASED_ON,1996-02-02
Dead Man Walking,HAS_IMDB_RATING,7.6
Across the Sea of Time,HAS_ACTOR,Victor Steinbach
Across the Sea of Time,HAS_ACTOR,Peter Reznick
Across the Sea of Time,HAS_ACTOR,John McDonough
Across the Sea of Time,HAS_ACTOR,Avi Hoffman
Across the Sea of Time,HAS_DIRECTOR,Stephen Low
Across the Sea of Time,IN_GENRE,IMAX
Across the Sea of Time,IN_GENRE,Documentary
Across the Sea of Time,RELEASED_ON,1995-10-20
Across the Sea of Time,HAS_IMDB_RATING,6.6
It Takes Two,HAS_ACTOR,Kirstie Alley
It Takes Two,HAS_ACTOR,Steve Guttenberg
It Takes Two,HAS_ACTOR,Mary-Kate Olsen
It Takes Two,HAS_ACTOR,Ashley Olsen
It Takes Two,HAS_DIRECTOR,Andy Tennant
It Takes Two,IN_GENRE,Comedy
It Takes Two,IN_GENRE,Children
It Takes Two,RELEASED_ON,1995-11-17
It Takes Two,HAS_IMDB_RATING,5.7
Clueless,HAS_ACTOR,Alicia Silverstone
Clueless,HAS_ACTOR,Paul Rudd
Clueless,HAS_ACTOR,Brittany Murphy
Clueless,HAS_ACTOR,Stacey Dash
Clueless,HAS_DIRECTOR,Amy Heckerling
Clueless,IN_GENRE,Comedy
Clueless,IN_GENRE,Romance
Clueless,RELEASED_ON,1995-07-19
Clueless,HAS_IMDB_RATING,6.8
"Cry, the Beloved Country",HAS_ACTOR,James Earl Jones
"Cry, the Beloved Country",HAS_ACTOR,Vusi Kunene
"Cry, the Beloved Country",HAS_ACTOR,Richard Harris
"Cry, the Beloved Country",HAS_ACTOR,Charles S. Dutton
"Cry, the Beloved Country",HAS_DIRECTOR,Darrell James Roodt
"Cry, the Beloved Country",IN_GENRE,Drama
"Cry, the Beloved Country",RELEASED_ON,1995-12-15
"Cry, the Beloved Country",HAS_IMDB_RATING,6.9
Richard III,HAS_ACTOR,Ian McKellen
Richard III,HAS_ACTOR,Jim Broadbent
Richard III,HAS_ACTOR,Annette Bening
Richard III,HAS_ACTOR,Robert Downey Jr.
Richard III,HAS_DIRECTOR,Richard Loncraine
Richard III,IN_GENRE,Drama
Richard III,IN_GENRE,War
Richard III,RELEASED_ON,1995-12-29
Richard III,HAS_IMDB_RATING,7.5
Dead Presidents,HAS_ACTOR,Larenz Tate
Dead Presidents,HAS_ACTOR,Freddy Rodríguez
Dead Presidents,HAS_ACTOR,Chris Tucker
Dead Presidents,HAS_ACTOR,Keith David
Dead Presidents,HAS_DIRECTOR,Albert Hughes| Allen Hughes
Dead Presidents,IN_GENRE,Drama
Dead Presidents,IN_GENRE,Action
Dead Presidents,IN_GENRE,Crime
Dead Presidents,RELEASED_ON,1995-10-06
Dead Presidents,HAS_IMDB_RATING,6.8
Restoration,HAS_ACTOR,Sam Neill
Restoration,HAS_ACTOR,David Thewlis
Restoration,HAS_ACTOR,Robert Downey Jr.
Restoration,HAS_ACTOR,Polly Walker
Restoration,HAS_DIRECTOR,Michael Hoffman
Restoration,IN_GENRE,Drama
Restoration,RELEASED_ON,1996-02-02
Restoration,HAS_IMDB_RATING,6.7
Mortal Kombat,HAS_ACTOR,Christopher Lambert
Mortal Kombat,HAS_ACTOR,Linden Ashby
Mortal Kombat,HAS_ACTOR,Robin Shou
Mortal Kombat,HAS_ACTOR,Cary-Hiroyuki Tagawa
Mortal Kombat,HAS_DIRECTOR,Paul W.S. Anderson
Mortal Kombat,IN_GENRE,Adventure
Mortal Kombat,IN_GENRE,Action
Mortal Kombat,IN_GENRE,Fantasy
Mortal Kombat,RELEASED_ON,1995-08-18
Mortal Kombat,HAS_IMDB_RATING,5.8
To Die For,HAS_ACTOR,Joaquin Phoenix
To Die For,HAS_ACTOR,Matt Dillon
To Die For,HAS_ACTOR,Casey Affleck
To Die For,HAS_ACTOR,Nicole Kidman
To Die For,HAS_DIRECTOR,Gus Van Sant
To Die For,IN_GENRE,Drama
To Die For,IN_GENRE,Thriller
To Die For,IN_GENRE,Comedy
To Die For,RELEASED_ON,1995-10-06
To Die For,HAS_IMDB_RATING,6.8
How to Make an American Quilt,HAS_ACTOR,Anne Bancroft
How to Make an American Quilt,HAS_ACTOR,Winona Ryder
How to Make an American Quilt,HAS_ACTOR,Adam Baldwin
How to Make an American Quilt,HAS_ACTOR,Kate Capshaw
How to Make an American Quilt,HAS_DIRECTOR,Jocelyn Moorhouse
How to Make an American Quilt,IN_GENRE,Romance
How to Make an American Quilt,IN_GENRE,Drama
How to Make an American Quilt,RELEASED_ON,1995-10-06
How to Make an American Quilt,HAS_IMDB_RATING,6.2
Seven (a.k.a. Se7en),HAS_ACTOR,Morgan Freeman
Seven (a.k.a. Se7en),HAS_ACTOR,Brad Pitt
Seven (a.k.a. Se7en),HAS_ACTOR,Andrew Kevin Walker
Seven (a.k.a. Se7en),HAS_ACTOR,Daniel Zacapa
Seven (a.k.a. Se7en),HAS_DIRECTOR,David Fincher
Seven (a.k.a. Se7en),IN_GENRE,Mystery
Seven (a.k.a. Se7en),IN_GENRE,Thriller
Seven (a.k.a. Se7en),RELEASED_ON,1995-09-22
Seven (a.k.a. Se7en),HAS_IMDB_RATING,8.6
Pocahontas,HAS_ACTOR,Mel Gibson
Pocahontas,HAS_ACTOR,Irene Bedard
Pocahontas,HAS_ACTOR,David Ogden Stiers
Pocahontas,HAS_ACTOR,Judy Kuhn
Pocahontas,HAS_DIRECTOR,Eric Goldberg|Mike Gabriel
Pocahontas,IN_GENRE,Drama
Pocahontas,IN_GENRE,Musical
Pocahontas,IN_GENRE,Animation
Pocahontas,IN_GENRE,Children
Pocahontas,IN_GENRE,Romance
Pocahontas,RELEASED_ON,1995-06-23
Pocahontas,HAS_IMDB_RATING,6.6
When Night Is Falling,HAS_ACTOR,Henry Czerny
When Night Is Falling,HAS_ACTOR,Rachael Crawford
When Night Is Falling,HAS_ACTOR,David Fox
When Night Is Falling,HAS_ACTOR,Pascale Bussières
When Night Is Falling,HAS_DIRECTOR,Patricia Rozema
When Night Is Falling,IN_GENRE,Drama
When Night Is Falling,IN_GENRE,Romance
When Night Is Falling,RELEASED_ON,1995-11-17
When Night Is Falling,HAS_IMDB_RATING,6.8
"Usual Suspects, The",HAS_ACTOR,Gabriel Byrne
"Usual Suspects, The",HAS_ACTOR,Stephen Baldwin
"Usual Suspects, The",HAS_ACTOR,Benicio Del Toro
"Usual Suspects, The",HAS_ACTOR,Kevin Pollak
"Usual Suspects, The",HAS_DIRECTOR,Bryan Singer
"Usual Suspects, The",IN_GENRE,Thriller
"Usual Suspects, The",IN_GENRE,Mystery
"Usual Suspects, The",IN_GENRE,Crime
"Usual Suspects, The",RELEASED_ON,1995-09-15
"Usual Suspects, The",HAS_IMDB_RATING,8.6
Mighty Aphrodite,HAS_ACTOR,Woody Allen
Mighty Aphrodite,HAS_ACTOR,Mira Sorvino
Mighty Aphrodite,HAS_ACTOR,Rene Ceballos
Mighty Aphrodite,HAS_ACTOR,George De La Pena
Mighty Aphrodite,HAS_DIRECTOR,Woody Allen
Mighty Aphrodite,IN_GENRE,Drama
Mighty Aphrodite,IN_GENRE,Comedy
Mighty Aphrodite,IN_GENRE,Romance
Mighty Aphrodite,RELEASED_ON,1995-11-10
Mighty Aphrodite,HAS_IMDB_RATING,7.1
Lamerica,HAS_ACTOR,Enrico Lo Verso
Lamerica,HAS_ACTOR,Carmelo Di Mazzarelli
Lamerica,HAS_ACTOR,Piro Milkani
Lamerica,HAS_ACTOR,Michele Placido
Lamerica,HAS_DIRECTOR,Gianni Amelio
Lamerica,IN_GENRE,Adventure
Lamerica,IN_GENRE,Drama
Lamerica,RELEASED_ON,1995-10-04
Lamerica,HAS_IMDB_RATING,7.6
"Big Green, The",HAS_ACTOR,Olivia d'Abo
"Big Green, The",HAS_ACTOR,Jay O. Sanders
"Big Green, The",HAS_ACTOR,Steve Guttenberg
"Big Green, The",HAS_ACTOR,John Terry
"Big Green, The",HAS_DIRECTOR,Holly Goldberg Sloan
"Big Green, The",IN_GENRE,Children
"Big Green, The",IN_GENRE,Comedy
"Big Green, The",RELEASED_ON,1995-09-29
"Big Green, The",HAS_IMDB_RATING,5.4
Georgia,HAS_ACTOR,Jennifer Jason Leigh
Georgia,HAS_ACTOR,Max Perlich
Georgia,HAS_ACTOR,Mare Winningham
Georgia,HAS_ACTOR,Ted Levine
Georgia,HAS_DIRECTOR,Ulu Grosbard
Georgia,IN_GENRE,Drama
Georgia,RELEASED_ON,1995-12-08
Georgia,HAS_IMDB_RATING,6.4
Home for the Holidays,HAS_ACTOR,Holly Hunter
Home for the Holidays,HAS_ACTOR,Charles Durning
Home for the Holidays,HAS_ACTOR,Robert Downey Jr.
Home for the Holidays,HAS_ACTOR,Anne Bancroft
Home for the Holidays,HAS_DIRECTOR,Jodie Foster
Home for the Holidays,IN_GENRE,Drama
Home for the Holidays,RELEASED_ON,1995-11-03
Home for the Holidays,HAS_IMDB_RATING,6.6
"Postman, The (Postino, Il)",HAS_ACTOR,Philippe Noiret
"Postman, The (Postino, Il)",HAS_ACTOR,Renato Scarpa
"Postman, The (Postino, Il)",HAS_ACTOR,Maria Grazia Cucinotta
"Postman, The (Postino, Il)",HAS_ACTOR,Massimo Troisi
"Postman, The (Postino, Il)",HAS_DIRECTOR,Michael Radford
"Postman, The (Postino, Il)",IN_GENRE,Comedy
"Postman, The (Postino, Il)",IN_GENRE,Romance
"Postman, The (Postino, Il)",IN_GENRE,Drama
"Postman, The (Postino, Il)",RELEASED_ON,1996-03-22
"Postman, The (Postino, Il)",HAS_IMDB_RATING,7.8
"Confessional, The (Confessionnal, Le)",HAS_ACTOR,Patrick Goyette
"Confessional, The (Confessionnal, Le)",HAS_ACTOR,Jean-Louis Millette
"Confessional, The (Confessionnal, Le)",HAS_ACTOR,Kristin Scott Thomas
"Confessional, The (Confessionnal, Le)",HAS_ACTOR,Lothaire Bluteau
"Confessional, The (Confessionnal, Le)",HAS_DIRECTOR,Robert Lepage
"Confessional, The (Confessionnal, Le)",IN_GENRE,Drama
"Confessional, The (Confessionnal, Le)",IN_GENRE,Mystery
"Confessional, The (Confessionnal, Le)",RELEASED_ON,1996-08-16
"Confessional, The (Confessionnal, Le)",HAS_IMDB_RATING,7.6
"Indian in the Cupboard, The",HAS_ACTOR,Hal Scardino
"Indian in the Cupboard, The",HAS_ACTOR,Litefoot
"Indian in the Cupboard, The",HAS_ACTOR,Lindsay Crouse
"Indian in the Cupboard, The",HAS_ACTOR,Richard Jenkins
"Indian in the Cupboard, The",HAS_DIRECTOR,Frank Oz
"Indian in the Cupboard, The",IN_GENRE,Fantasy
"Indian in the Cupboard, The",IN_GENRE,Adventure
"Indian in the Cupboard, The",IN_GENRE,Children
"Indian in the Cupboard, The",RELEASED_ON,1995-07-14
"Indian in the Cupboard, The",HAS_IMDB_RATING,5.9
Eye for an Eye,HAS_ACTOR,Sally Field
Eye for an Eye,HAS_ACTOR,Ed Harris
Eye for an Eye,HAS_ACTOR,Olivia Burnette
Eye for an Eye,HAS_ACTOR,Alexandra Kyle
